
 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName
 ------    -----      -----     ------      --  -- -----------
     17    19.11      33.36       0.09     316   2 brave
     36    18.17      75.55       5.36    2060   2 brave
     54   205.97     256.14       9.62    3404   2 brave
     10     2.15       7.66       0.03    4400   2 brave
     17    22.94      53.94       0.16    4412   2 brave
     17    15.66      43.06       0.16    4444   2 brave
     15     8.30      20.66       0.11    4736   2 brave
     29    55.50     124.09       1.92    5392   2 brave
     18    26.46      66.11       0.38    5428   2 brave
     26    43.21     101.92       1.05    5700   2 brave
     19    27.51      71.05       0.61    6716   2 brave
     18    14.43      38.64       1.58    6808   2 brave
     17    18.61      48.76       0.23    7108   2 brave
     16     8.14      21.38       0.06    7528   2 brave
     11     1.61       1.39       0.00    5956   0 BraveCrashHandler
      9     1.69       1.32       0.00    5976   0 BraveCrashHandler64
     46    48.98     110.98      55.75    1572   2 Code
     34   178.15     181.63     157.06    2288   2 Code
     14    21.59      37.68       0.64    3244   2 Code
     39    92.04     114.52      45.64    3308   2 Code
     18    54.24      86.44     159.81    3860   2 Code
     13    10.23      14.08       0.03    4060   2 Code
     37   220.09     333.43     429.89    4364   2 Code
     18    14.29      27.91      17.84    5136   2 Code
     18    52.80      54.55       1.67    5224   2 Code
     13    18.06      33.02       0.28    6124   2 Code
     12     7.24      12.02       1.23    6052   2 CodeSetup-stable-74b1f979648cc44d385a2286793c226e611f59e7
     22    21.96      37.56       9.28    5432   2 CodeSetup-stable-74b1f979648cc44d385a2286793c226e611f59e7.tmp
     10     5.99      12.59       8.38    3144   2 conhost
     10     5.73      11.20       0.25    6608   2 conhost
     10     5.73      11.25       0.25    6788   2 conhost
     20     2.16       5.36       0.00     432   0 csrss
     10     1.65       4.63       0.00     504   1 csrss
     18     2.25       5.26       0.00    2636   2 csrss
     15     3.81      13.95       0.80    4864   2 ctfmon
     32    17.70      23.34       0.00    2952   0 dfsrs
     13     2.41       7.73       0.00    2592   0 dfssvc
     16     3.65      11.20       0.06    6748   2 dllhost
   8469   127.27     116.13       0.00    2988   0 dns
     21    15.92      34.42       0.00     992   1 dwm
     32    28.59      88.61       0.00    2960   2 dwm
     64   112.40     114.91      20.42    5024   2 explorer
     10     4.45       9.93       0.00     372   2 fontdrvhost
      6     1.35       4.21       0.00    2824   1 fontdrvhost
      6     1.40       4.27       0.00    2832   0 fontdrvhost
      0     0.05       0.01       0.00       0   0 Idle
     12     1.97       5.64       0.00    3012   0 ismserv
     25    10.10      39.50       0.00     984   1 LogonUI
    124    45.51      57.06       0.00     640   0 lsass
     28    31.78      41.80       0.00    2920   0 Microsoft.ActiveDirectory.WebServices
     13     2.82       9.69       0.00    5928   0 msdtc
     91   243.66     200.89       0.00    1412   0 MsMpEng
     13     5.76      11.93       0.00    3960   0 NisSrv
     26    52.65      88.28       0.86    1716   2 powershell
     89    80.64     142.68       3.41    2500   2 pwsh
     93    98.93     143.57       3.92    6676   2 pwsh
     15     2.70      12.28       4.48    4472   2 rdpclip
      8     0.98      77.60       0.00      68   0 Registry
     14     3.49      19.36       0.11    5316   2 RuntimeBroker
     20     8.15      21.64       0.84    5516   2 RuntimeBroker
     12     2.65      12.66       0.61    5836   2 RuntimeBroker
     70    77.85      71.49       2.33    5176   2 SearchUI
     33    91.71      77.18      14.50    5660   2 ServerManager
     14     6.11      13.59       0.00     632   0 services
     29    17.75      53.22       0.66    4240   2 ShellExperienceHost
     17     4.78      21.93       0.47    4500   2 sihost
     22     8.30      24.27       0.20    5468   2 smartscreen
      3     0.49       1.12       0.00     332   0 smss
     31     9.21      25.62       0.00    2840   0 spoolsv
     12     1.92       9.39       0.00     364   0 svchost
     29    78.25     100.58       0.00     368   0 svchost
      9     1.75       6.69       0.00     416   0 svchost
     18     3.82       7.82       0.00     508   0 svchost
      9     1.70      11.06       0.00     672   0 svchost
     12     1.78       7.14       0.00     752   0 svchost
      5     0.88       3.79       0.00     824   0 svchost
     20     6.81      20.88       0.00     844   0 svchost
     19     5.64      11.93       0.00     872   0 svchost
      9     2.09       7.42       0.00     916   0 svchost
     11     3.16      10.16       0.00     920   0 svchost
     14     3.58       9.29       0.00    1044   0 svchost
     15    16.59      20.76       0.00    1144   0 svchost
      8     1.43       6.05       0.00    1152   0 svchost
     12     2.46       9.51       0.00    1160   0 svchost
     32     8.61      17.15       0.00    1272   0 svchost
     11     2.38       7.51       0.00    1284   0 svchost
     16     4.12      13.13       0.00    1292   0 svchost
      8     1.40       5.94       0.00    1304   0 svchost
     10     1.49       6.64       0.00    1320   0 svchost
     12     2.44      11.16       0.00    1336   0 svchost
      8     1.41       6.02       0.00    1348   0 svchost
     14     4.17      11.41       0.00    1356   0 svchost
      9     1.83       7.59       0.00    1384   0 svchost
     15    14.33      23.32       0.00    1404   0 svchost
      7     1.23       5.68       0.00    1424   0 svchost
      8     1.48       6.72       0.00    1472   0 svchost
     10     2.30       8.88       0.00    1492   0 svchost
     18     5.63      14.86       0.00    1608   0 svchost
     10     1.80       8.09       0.00    1672   0 svchost
     12     2.64      10.70       0.00    1684   0 svchost
     10     2.35       8.16       0.00    1760   0 svchost
     12     1.93       8.65       0.00    1768   0 svchost
     17     5.57      15.86       0.00    1816   0 svchost
     11     2.07      11.85       0.00    1960   0 svchost
     12     2.04       8.29       0.00    1980   0 svchost
     10     1.62       6.89       0.00    2036   0 svchost
      9     2.23       7.57       0.00    2044   0 svchost
     11     2.07       8.93       0.00    2084   0 svchost
     16     3.59      17.52       0.00    2160   0 svchost
     16     3.15      11.15       0.00    2192   0 svchost
     17     2.67      11.01       0.00    2260   0 svchost
     20     4.74      22.06       0.00    2576   0 svchost
     10     2.36       8.28       0.00    2688   0 svchost
      7     1.37       5.92       0.00    2904   0 svchost
     26     4.77      14.02       0.00    2912   0 svchost
     24    21.04      36.52       0.00    2964   0 svchost
      8     1.57       6.32       0.00    3036   0 svchost
      9     1.57       6.55       0.00    3060   0 svchost
     24     3.27      12.02       0.00    3120   0 svchost
     20     8.23      15.14       0.00    3260   0 svchost
